Title,Company,Location,Date Posted,Description,Link
Capital Projects Solutions Senior System Administrator,N/A,"OmanSaudi Arabia - Oman , Riyadh - Saudi Arabia",26 May,"Job Description
Roles & Responsibilities
Capita Technologies is currently looking for Capital Projects Solutions Senior System Administrator to be based in RiyadhLocation: Riyadh, Saudi ArabiaExperience: 7+ years
Strong knowledge and understanding of primavera products technology (P6EPPM, unifier, Gateway, Autovue, BIP, DB , Content management CMIS , WebLogic, integration, ..)Strong knowledge of infrastructure and how the applications are runningStrong technical background with extensive experience managing and maintaining PMIS environments, particularly in the context of large-scale enterprise systems.Strong skills of analysis the troubleshooting and solving complex issues APP/DBAdminister and maintain the PMIS platform (e.g., Oracle Primavera Unifier, Oracle P6 EPPM, BIP, Autovue, Weblogic) to ensure optimal system performance.Perform system setup, configuration, and integration of PMIS software, including managing user access, security configurations, and permission settings.Manage and troubleshoot PMIS servers, databases, and applications to ensure high availability and performance.Install, configure, and upgrade PMIS solutions and related systems.Ensure the systems environment is secured by managing backups, disaster recovery processes, and implementing security patches as necessary.Oversee the maintenance and upgrade of the underlying infrastructure supporting the PMIS solution, including servers, storage, and networking.Monitor the health and performance of the PMIS environment, including proactive monitoring of system logs, alerts, and performance metrics.Troubleshoot system issues and resolve them in a timely manner to minimize downtime and service interruptions.Implement performance tuning, fine-tuning database queries, optimizing system processes, and ensuring efficient resource utilization.Maintain system uptime through preventative maintenance, backup procedures, and monitoring.Provide expert-level technical support to internal users and external clients, addressing issues related to the PMIS platform.Troubleshoot complex technical problems involving databases, user access, and system integrations.Maintain and update system documentation, ensuring that operational procedures and issue resolution strategies are well-documented.Conduct gap analysis and recommend solutions that enhance project management efficiency and effectiveness.Coordination and collaboration with Onsite team for task assignment, tracking and status reporting.Documentation of technical design document and unit test case documentsShould have participation in all phases of SDLC.Strong interpersonal and communication skillsPerforms miscellaneous tasks as assigned by his / her direct manager.
Education-
A Bachelor's degree in computer science, management information systems, or related field, or equivalent combination of education and work experience is required.Arabic speaking is must7+ years of hands-on experience as a Capital Projects Solutions Senior System Administrator",https://www.naukrigulf.com/capital-projects-solutions-senior-system-administrator-jobs-in-null-in-capita-technologies-8-to-13-years-n-cd-20010126-jid-260525500830
SOA Integration Senior Technical Consultant,N/A,"OmanSaudi Arabia - Oman , OmanSaudi Arabia - Saudi Arabia",26 May,"Job Description
Roles & Responsibilities
Capita Technologies is currently looking for SOA Integration Senior Technical Consultant to be based in Riyadh
Troubleshooting experience in SOA to reprocess fail recordsExperience in design, development and support of the SOA Composites comprises of OSB, BPEL & BAMCollaborate with cross functional teams to gather and analyze business requirements for data integration solutions.In-depth knowledge and experience in various Adapter technologies such as File, FTP, Database, Oracle AQ, IBM MQ or JMS Queues.In-depth knowledge on SOAP, REST WS, XML, XSD, XPath, XQuery and WSDL technologiesShould have experience in configuring and tuning the JMS Server, Data Sources, and adapters.Must have experience in Transaction Management, Exception handling methodology, mappings, and transformations.Testing experience of services via OSB console, SOAP UIShould have experience in the SOA 11g/12c support activities.Coordination and collaboration with Onsite team for task assignment, tracking and status reporting.Documentation of technical design document and unit test case documentsShould have participation in all phases of SDLC.Strong interpersonal and communication skillsPerforms miscellaneous tasks as assigned by his / her direct manager.",https://www.naukrigulf.com/soa-integration-senior-technical-consultant-jobs-in-null-in-capita-technologies-8-to-12-years-n-cd-20010126-jid-260525501940
Primavera Unifier Senior Technical Consultant,N/A,"OmanSaudi Arabia - Oman , Riyadh - Saudi Arabia",23 May,"Job Description
Roles & Responsibilities",https://www.naukrigulf.com/primavera-unifier-senior-technical-consultant-jobs-in-null-in-capita-technologies-8-to-12-years-n-cd-20010126-jid-230525500677
Channel Sales Acct Manager,Fortinet,Oman - Oman,21 May,"Job Description
Roles & Responsibilities
Channel Manager - Oman
Location: Muscat, Oman
The Channel Manager will manage a team who will build and promote the Company s position as the worldwide leader in Unified Threat Management, specifically through the VAR community in the territory for Commercial business. Must be a key contributor to the revenue growth of the region, and manage to the company growth targets. Accountable for managing all reseller partnerships within the guidelines of Fortinet s channel programs, spearheading new business development and successfully developing alliances with key solution provider accounts. Will motivate, educate and train the partners in the Company s products and technologies. Expand sales with by building business plans including MDF strategy, account penetration strategy and profitability targets.
Responsibilities:
Required Skills
5+ years channel sales and territory management in networking or security sectors.
Experience building business and marketing plans with partners.
Must have experience in delivering sales trainings, and experience in working in a fast pace environment with revenue responsibilities.
Excellent presentation skills to executives & individual contributors
Excellent written and verbal communication skills
Candidate must thrive in a fast-paced, ever-changing environment.
Competitive, Self-starter, Hunter-type mentality.
College or University degree preferred
- Manage key Fortinet partners and end users in the region
- Build revenue and non-revenue business plans with these partners.
- Provide ongoing sales and technical trainings to these partners.
- Build marketing plans to drive incremental sales pipeline and revenues with development funds.
- Act as key channel strategist to regional sales managers within region.
- Partner with Fortinet marketing and engineering teams to drive revenue growth within region.
- Provide geographic channel coverage for the region
- Carry quarterly and annual revenue targets.",https://www.naukrigulf.com/channel-sales-acct-manager-jobs-in-oman-in-fortinet-5-to-10-years-n-cd-10000403-jid-210525501526
Oracle EBS Technical,N/A,Oman - Oman,20 May,"Job Description
Roles & Responsibilities
Capita Technologies is currently looking for an Oracle EBS Technical - Integration Specialist Consultant to be based in Oman.We are seeking a technically proficient Oracle EBS Technical Consultant with deep experience in integrating Oracle E-Business Suite (EBS) with third-party systems using Java, APIs, and Oracle SOA Suite.
The ideal candidate will have a strong understanding of Oracle EBS architecture and functional flows, and a proven track record of successful interface development and systems integration. Strong technical documentation skills are essential for this role.
Design, develop, and implement seamless integrations between Oracle EBS and external systems using:Java-based APIsOracle SOA SuiteREST/SOAP Web ServicesFile-based and real-time interfacesCollaborate with functional consultants and external vendors to gather integration requirements and translate them into scalable technical designs.Build and manage custom APIs and middleware components to ensure secure, high-performance data exchange between Oracle EBS and third-party applications (e.g., banking, payroll, HRMS, tax systems, procurement portals).Troubleshoot and resolve technical issues related to integration and data flow.Write and maintain detailed technical documentation including:Technical design documentsInterface control documentsAPI specificationsUser and support manualsEnsure all integration solutions align with industry best practices and Oracle standards for performance, security, and compliance.Support testing activities including unit testing, Internal testing, OAT and deployment support.Provide post-go-live technical support and enhancements for integration components.Supports multiple projects/tasks within assigned areas of Oracle ERP portfolio and related business applications.Provides integrated systems planning and recommends new or different solutions that will enhance current systems and support overall corporate and business goals.Drives business process reengineering and related lean concepts through Oracle ERP and related information systems best practice deployment.Provide in-depth technical consultation to Business Unit and project supervision to ensure development of efficient application systems utilizing established standards, procedures, and methodologies.Responsible for developing and adhering to engagement team project standards to ensure the delivery of quality deliverables.Actively participate in the troubleshooting phase once the product has gone ""live"".Develop and document know-how, controls, and capabilities within the Oracle ERP.Performs miscellaneous tasks as assigned by his / her direct manager.Experience: Minimum 8+ years.",https://www.naukrigulf.com/oracle-ebs-technical-jobs-in-oman-in-capita-technologies-8-to-12-years-n-cd-20010126-jid-200525500814
Head Cook,N/A,Oman - Oman,20 May,"Job Description
Roles & Responsibilities
Job Location
Oman
Experience
5 to 10 years
Qualification Level
Diploma; Graduate
Job Function
Chefs / F&B / Housekeeping / Front Desk
Skillset
cooking techniques, teamwork, creativity, and organizational abilities
Preferred Jobseekers
Jobseekers from any country",https://www.naukrigulf.com/head-cook-jobs-in-oman-in-7-seas-business-solution-5-to-10-years-n-cd-20010005-jid-200525500518
DEVOPS SPECIALIST,Duncan & Ross,Muscat - Oman,16 May,"Job Description
Roles & Responsibilities
RESPONSIBILITIES:
Vertical:
Technology
- Solution Design: Collaborate with clients and internal teams to design scalable and cost-effective solutions on the AWS platform that meet business requirements.
- Architecture Development: Develop and maintain architecture diagrams, design documents, and best practices for AWS-based solutions.
- Technical Leadership: Provide technical leadership and guidance to development teams, ensuring the successful implementation of AWS solutions.
- Cloud Migration: Lead and participate in the migration of existing applications and infrastructure to AWS, optimizing for performance, cost, and security.
- Should have excellent hands-on skills with modern infrastructure tech stack like K8s, IaC (Terraform), ansible, groovy, python, shell script etc.
- Security and Compliance: Implement and adhere to security best practices, ensuring solutions comply with industry standards and regulations.
- Cost Optimization: Optimize AWS usage to maximize cost efficiency while ensuring high performance and availability.
- Collaboration: Collaborate with cross-functional teams, including developers, operations, and business stakeholders, to ensure seamless integration of solutions.
- Technical Support: Provide expertise in troubleshooting and resolving issues related to AWS infrastructure and applications.
- Documentation: Create and maintain comprehensive documentation for architecture, configurations, and processes.
- Stay Current: Stay up-to-date with the latest AWS services, features, and industry best practices.
- Should have at least one professional/advanced level cloud certification, AWS Solution architect professional certification is preferred.",https://www.naukrigulf.com/devops-specialist-jobs-in-muscat-oman-in-duncan-ross-2-to-5-years-n-cd-40000186-jid-160525501260
ADOBE EXPERIENCE PLATFORM (CDP) LEAD,Duncan & Ross,Muscat - Oman,16 May,"Job Description
Roles & Responsibilities
RESPONSIBILITIES:
Platform Implementation:
Data Management and Integration:
Customer Insights and Segmentation:
Optimization and Innovation:
Training and Support:
QUALIFICATIONS:
Vertical
Technology
- Lead the setup and configuration of the Adobe Experience Platform, including data schema development, data ingestion processes, and integration with other Adobe and third-party tools.
- Collaborate with IT and other stakeholders to ensure a seamless implementation process.
- Design and manage the customer data architecture within the AEP to support current and future business requirements.
- Oversee data integration from various sources to ensure comprehensive and accurate customer profiles.
- Utilize the AEP to create detailed customer segments and insights that drive marketing personalization and targeting.
- Work alongside marketing teams to develop strategies that leverage customer data for enhanced engagement.
- Continuously evaluate and optimize the platform setup, ensuring it aligns with best practices and business goals.
- Stay informed of updates and new features within the Adobe Experience Platform and provide recommendations for adoption.
- Provide training and support to internal teams to ensure they effectively utilize the AEP.
- Act as the primary point of contact for any platform-related queries or issues.
- Proven experience with Adobe Experience Platform and a strong understanding of its capabilities and features.
- Hands-on experience with data management, analytics tools, and marketing solutions.
- Strong problem-solving skills and ability to work with complex datasets.
- Excellent communication and project management skills.
- Experience with related Adobe products such as Adobe Analytics, Adobe Target, or Adobe Campaign is a plus.",https://www.naukrigulf.com/adobe-experience-platform-lead-jobs-in-muscat-oman-in-duncan-ross-3-to-8-years-n-cd-40000186-jid-160525501288
PRODUCT OWNER,Duncan & Ross,Muscat - Oman,16 May,"Job Description
Roles & Responsibilities
JOB SUMMARY
We are seeking an experienced Product Owner (Manager Level) with a strong technical & functional background to lead the modernization of enterprise applications. The ideal candidate must have successfully executed application modernization projects with hands-on experience in system analysis, redesigning complex business rules, and defining content structures of current applications. The role requires ensuring a seamless transition to modernized platforms while maintaining critical business functionalities.
As a Product Owner, you will act as a trusted advisor to clients, leading the vision, strategy, roadmap, and prioritization for digital products. You will collaborate with clients undertaking major Digital Business Transformation (DBT) initiatives to understand their business and customer needs and deliver value through fast increment cycles.
RESPONSIBILITIES
Application Modernization & System/Business Analysis
Managing Stories & Requirements
Ensuring Business Continuity & Compliance
Agile & Lean Practices
QUALIFICATIONS
Technical Skills:
Soft Skills:
Vertical
Technology
- Analyze existing applications workflows, architecture, and business rules to define modernization strategies.
- Document and ensure the preservation of critical business rules during modernization.
- Define content structure and functionalities in the modernized system.
- Work closely with architects, developers, and business teams to ensure a smooth transition.
- Translate complex business processes into stories and align them with modernization goals.
- Work with developers, architects, and stakeholders to document system requirements.
- Shape product propositions that drive business outcomes.
- Represent business needs in ideation workshops with cross-functional leaders.
- Develop solution hypotheses iteratively based on user research, industry, and market trends.
- Translate product vision into a roadmap with well-defined, prioritized features.
- Validate and present business cases to senior executives and lead reviews to prioritize key features.
- Act as the voice of the customer among cross-functional teams to ensure user-centric solutions.
- Establish objective goals, success metrics, and KPIs to measure business impact.
- Collaborate with system architects to prioritize system enablers.
- Identify and mitigate risks associated with application modernization.
- Ensure compliance with regulatory, security, and functional requirements.
- Masterfully apply Lean Agile practices and frameworks.
- Collaborate with stakeholders to ensure alignment with program increment (PI) objectives.
- Drive continuous delivery principles to maximize the flow of value across teams.
- Strong experience with enterprise application modernization and system analysis.
- Experience with Agile methodologies, Jira, Confluence, and technical documentation.
- Understanding of legacy systems, monolithic architectures, and migration strategies.
- Experience of data analysis, API reviews, and database structure analysis to support the migration strategy.
- Work with modern technologies such as Microservices, Cloud-based applications, APIs, and event-driven architecture.
- Define and document system integrations, workflows, and dependencies between old and new systems.
- Strong analytical and problem-solving skills.
- Excellent communication and stakeholder management.
- Ability to document complex workflows and translate them into technical requirements.",https://www.naukrigulf.com/product-owner-jobs-in-muscat-oman-in-duncan-ross-3-to-6-years-n-cd-40000186-jid-160525500648
Senior Network Administrator,N/A,Muscat - Oman,15 May,"Job Description
Roles & Responsibilities
Role: Network Administrator
Exp: 7 years
Location: Oman, Muscat
Benefits - Visa , Travel Allowance , 15 Days of initial Accommodation
Description:
Routing, Switching & Load balancer. Firewall, WAF & Email gateway, Proxy Servers
CISCO switching & Routing, Huawei switching & routing, A10 & F5 load balancers, Fortinet Firewall & WAF, Websense Proxy
Implementing and supporting entire protocols related to VOIP and Cisco technology.
Managing LAN switching environments and WAN environments with respective protocols.
Managing network security platforms and technologies.
Built and maintained computer networks for a wide range of clients from different industries.
Implementing and configuring security devices like firewall, IPS and IDS (Snort).
Analyze the data flow and network flow through Network management software and Qradar.
Using WAN Technologies like (Lease line and MPLS).",https://www.naukrigulf.com/senior-network-administrator-jobs-in-muscat-oman-in-alasus-technologies-6-to-11-years-n-cd-20010126-jid-150525500626
