title,company,location,date_posted,link,description
Sales Consultant,AlRuzaiqi Motors,"Muscat, Oman",5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/sales-consultant-201896,"Job OverviewWe are seeking a dynamic and results-driven Sales Consultant to join our automotive dealership. The ideal candidate must be fluent in Arabic and have a strong passion for cars and customer service. This role involves assisting customers in selecting the right vehicle, ensuring an excellent buying experience, and achieving sales targets.Key ResponsibilitiesGreet and assist customers in the showroom, understanding their needs and preferencesProvide detailed information on available vehicles, features, and financing optionsBuild and maintain strong relationships with new and existing clientsNegotiate prices, trade-ins, and financing terms to close dealsConduct test drives and demonstrate vehicle features to potential buyersStay updated on the latest automotive trends, models, and promotionsFollow up with potential leads and maintain an accurate sales pipelineEnsure high levels of customer satisfaction and after-sales supportRequirementsFluency in Arabic is mandatoryProven experience in automotive sales or a similar customer-facing roleStrong negotiation, communication, and interpersonal skillsPassion for cars and a solid understanding of automotive features and trendsAbility to work in a fast-paced environment and meet sales targetssending CVs to:sales@alruzaiqimotors.comJob Type: Full-timePay: RO200.000 - RO400.000 per monthExperience:automotive sales or a similar customer-facing role: 1 year (Preferred)Language:Arabic (Preferred)Application Deadline: 30/04/2025Job Id: T4qiHsAPnA3EeeEuF+Y5jR7wTkZ/18/tENpBtN5uBt4hRbG0rpgsRLPNJmX6fM5CE7TsYwf/1K7T7nVcPYMDMDQZbaviTrzQl7KWudExKCgHTcc8IoM="
Sales Consultant,A2W Consultants Oman,"Muscat, Oman",5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/sales-consultant-1749719010399,"Job Hiring Vacancy:Tele Sales Consultant -Male & Female (Hindi/Urdu/Tagolog/Malayalam/Tamil/Bengali/Punjabi speaking mainly)Location: Al Khuwair, MuscatSunday OFFWe are seeking Fresher / experienced in the field of Tele calling sales to join our dynamic team in Muscat. As a Tele caller, you will be responsible for handling inbound and outbound calls, providing exceptional customer service, and guiding clients through the immigration process.Responsibilities:Make 100 outbound calls (on a daily basis) to warm and hot leads, answering questions about visas and signing up clients.Follow up with clients on a daily basis.Handle outbound telemarketing and provide excellent client service.Respond to incoming emails and phone queries.Achieve monthly sales targets.Keep up-to-date with changes to immigration laws and procedures.Assist clients in gathering and submitting required documents.Maintain accurate records and invoices for services provided.SALES TARGET BASED MONTHLY SALARIES PLUS ADDED COMMISSION AND INCENTIVESPlease send your CV athiring@a2wconsultantsoman.comJob Id: K/46zBZ0kF6EoIiX1Rl81V159fCKS89+RcbjAUXpVe84ejiWqlE05AJiXzX8b2iMECSH7w2erMzQ62pQn5a6qqZ/CldSHLOOUA=="
Sales Associate,Rivoli Group,Oman,5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/sales-associate-1746619982425,"Understanding customer needs and queries about products, prices and servicesAdvising customers on product ranges best suited to their needsAchieving the sales target and focus on increasing sales by using advanced sales techniquesFocusing on up selling/ cross sellingMaintaining customer relationships in order to build long term brand loyaltyHandling new launches, promotion of products and visual merchandisingEnsuring stock replenishment at all timesMaintaining general cleanliness, hygiene standards and visual displaysImplementing CRM at the store level and providing relevant feedbackCoordinating with customer care center for after sales serviceGenerating daily sales reportFollowing all company procedures in ordering, cash handling and other common practicesPROFILESelling experience of at least 2 years preferably in high end segment in retail, hospitality or brands.Excellent communication (including spoken and written English).Strong selling skills & customer orientedConfident, friendly & engaging personalityWell-mannered and politeImmaculately groomed & physically fitJob Id: GSGM9av+cYer0ZGInJnc8RJ/3lf610hm8NBnj9xo7PC+a763jjCPES3vz8qDqWomHv4TPdmWa+IYH/K7m5U9HAqofjUU6DEsuc7dSElnAKGyXCD2y9VRCvtxC7Ftxfkk1ZlMaGNMnEMS"
Sales Associate,Louis Feraud Paris L.L.C,"Muscat, Oman",5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/sales-associate-1749117196388,We are looking for dedicated Sales Associate.Preferably with previous experience in Fashion RetailOmani citizen is requiredJob Type: Full-timePay: RO300.000 - RO350.000 per monthApplication Question(s):Are you Omani Citizen?How much is your expected salary?Experience:Fashion Retail: 1 year (Preferred)Job Id: +iQB7idUSTf4tkCB7srwtHsYJRrZWK9fK6SvtVQJgrKFHlCggZD9LWR3G47LMrsd5I//UTUZ1uqnBdOFUlJ4bvqx9md5dfGkZFKO/5EQ4nyu2gYpHQ==
Sales Associate,BFL Group,"Masqat, Oman",5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/sales-associate-1747909343172,"Company Overview:BFL Group is one of the world’s leading off-price retailer of fashion and homeware. With headquarters based in United Arab Emirates, we serve over markets across the region and Southeast Asia.Our goal is to delight customers and entice them back with the promise of exceptional pieces that excite – all at up to 80% off the original retail price for fashion designer brands. Our unique “Treasure Hunt” model ensures there is always something new to explore, desire and discover within our stores. Our customers walk out with new items every time they visit any of our stores.Role Purpose:We are currently looking to add Sales Associates to our upcoming new store in Oman. The ideal candidate will have 1 - 2 years of experience in a retail environment as a Sales Associate or have relevant customer service experience. A proven track record in achieving sales targets and building customer relationships is essential.Responsibilities:Greet customers and assist them in finding what they're looking for.Maintain full knowledge of current sales, promotions, and policies regarding payment and exchange, and security practices.Maintain organized stock room at all times, ensuring that enough stocks are available for all items and inform the Shop Manager about any requirements or over stock items.Arrange and display merchandise according to item, size and color, under the direction of the Merchandiser team.Receive all methods of payments from customers and ensure proper turn-over of cash register to the next duty cashier.Qualifications & Skills:Educational qualification of any discipline.Energetic and enthusiastic with can do attitude.Strong verbal and written communication skills.Excellent organization skills dealing with high level productions.If you think you are fit for this job position, then apply right away. You are steps away from joining aGreat Place to Work©and we would love to meet you soon!Job Id: P9NG+MOEDHCBv6H/GCzskM+8QQbylLlUxRmJMSbbklymJVuC3ud6svn72R8FeHj0vbgXT5SMjkz1bU4LYhiO/hQEdU1iyb7vLQ=="
Sales Associate,Azadea,"Muscat, Oman",5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/sales-associate-959579,"Sales Associate(Job Number: SAL001223)DescriptionGreet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standardsArrange and replenish on a continuous basis the shop shelves and ensure that the shop floor and shelves are kept clean and tidy at all times in alignment with the brand's image and coordination standardsProvide exceptional customer service by performing up-selling, cross-selling, suggesting alternatives and following up on customers' requestsSpecific for Multimedia: Inform Department Manager of unavailable and nonperforming productsSpecific for Multimedia: Merchandize products under the appropriate sections according to sales trends, date of release, and as per the Department Manager recommendationsSpecific for Multimedia: Up-sell and cross-sell products and services in order to reach hourly and daily sales targetsEnsure smooth and efficient receiving process of items/shipments, as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activitiesHandle cash register and transactions with the customers in an effective and accurate manner as requiredSpecific for Fashion: Take accurate measurements for any needed alteration, assign price according to set price list (when applicable) and coordinate needed alterationsQualificationsHigh School DegreeFluency in EnglishProficiency in MS officeSkills Specific for Sports Goods retail: Collective Game, Project oriented, Athlete/ambassador, Enthusiastic, Contributor, Empathic, Entrepreneur and responsibleSpecific for Sports Goods retail: Active participation in at least one sporting activityPlanning and Organizing: level 1Self - Development: level 2Communication Skills: level 2Cultural Awareness: level 1Customer Focus: level 1Initiative: level 2Teamwork: level 2Organization: BershkaPrimary Location: Oman-Oman, MuscatSchedule: Full-timeUnposting Date: OngoingJob Id: Ii4g72i7v4wfHj2lOqiXrzFQ4/nn6pEtmaNrLZQLCsPYJDM8J0AqitkRylsn5KM79q52bQNutR8Pkvb9nVBgS4dsxVfeCFC9t83eAPCTf0HsSnlwJxWZBj2rYMjG40J2OA9JJjg="
Sales Associate,Azadea,Oman,5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/sales-associate-715369,"Sales Associate(Job Number: SAL003228)DescriptionGreet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standardsArrange and replenish on a continuous basis the shop shelves and ensure that the shop floor and shelves are kept clean and tidy at all times in alignment with the brand's image and coordination standardsProvide exceptional customer service by performing up-selling, cross-selling, suggesting alternatives and following up on customers' requestsSpecific for Multimedia: Inform Department Manager of unavailable and nonperforming productsSpecific for Multimedia: Merchandize products under the appropriate sections according to sales trends, date of release, and as per the Department Manager recommendationsSpecific for Multimedia: Up-sell and cross-sell products and services in order to reach hourly and daily sales targetsEnsure smooth and efficient receiving process of items/shipments, as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activitiesHandle cash register and transactions with the customers in an effective and accurate manner as requiredSpecific for Fashion: Take accurate measurements for any needed alteration, assign price according to set price list (when applicable) and coordinate needed alterationsQualificationsHigh School DegreeFluency in EnglishProficiency in MS officeSkills Specific for Sports Goods retail: Collective Game, Project oriented, Athlete/ambassador, Enthusiastic, Contributor, Empathic, Entrepreneur and responsibleSpecific for Sports Goods retail: Active participation in at least one sporting activityPlanning and Organizing: level 1Self - Development: level 2Communication Skills: level 2Cultural Awareness: level 1Customer Focus: level 1Initiative: level 2Teamwork: level 2Organization: Pull & BearPrimary Location: Oman-Mall Of OmanSchedule: Full-timeUnposting Date: OngoingJob Id: Z2DZl60+KspdYZo9YXX6x9a+CD8/Q0m7NVqxxe85/Cyj1pi8xHW8gPtMb4pqtyBgFaWBmn2wEWY6UXNSHrmGtMQzRb3u068OYI0X0pkk4jP+RptIlMbACVW4cCcqZxvLuWfRmlg="
Sales Associate,Apparel Group,"Muscat, Oman",5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/sales-associate-679376,"Job DescriptionPOSITION OBJECTIVEThe position is responsible to represent the brand by maximizing and contributing to the sales within the store through exceptional customer service and retail experiencePerform various operational duties such as store maintenance and visual presentation standards as assigned by the store manager / assistant store managerKey ResponsibilitiesCustomer Service:Greet the customers and assist them in selecting the right product.Convert the window shoppers to ultimate buyers.Promote the Club Apparel Loyalty Program of the company for repeat salesServe Customers with the highest standards and follow the company guideline of selling ( GUEST – Greet, Understand, Explain, Sell, Thank)Must be updated about the various brands of the group for suggestive selling to the customers Grooming / Attitude / KnowledgeMust be presentable and well-groomed at all the timesFlexible to work for extended hours during the Sale periodMust possess up to date product knowledge and ensure minimal stock loss.Flexible to work for extended hours during the Sale period.Merchandise:Ensure all stock is laid out and displayed in order to attract customers and also as per standard layout normsEnsure all VM guidelines are followed and all Stock Norms on clearance are maintained.Record the inventory inward / outward and maintain the report of the same ProcessHandle the POS (Point of Sale) / Billing Counter efficientlyTally money in the cash till during the beginning / end of the shiftsIssue receipts / refunds / change to the customers correctlyProcess the payments by cash / credit cards / vouchers / automatic debitsEnsure awareness and vigilance at all times of security in the store without any negligenceMust be flexible to work for varied shifts and overtime as per the business requirementAdhere to SOP & Loss Prevention PoliciesMaintain confidentiality of the sales figures to the outside partyJob Id: rIGdK3AsCWI77d2OPfMc5tYFwKQYMzhWdp1UqX544ykZ9AIy6rKbO2jNfo3HQo4JGEYq6jali0oeK9fieCnqIbuxVp+gVNc49NHNZS2jC/K+9plNyOvUpeei+LUPVdCxZsjVY47DATNoWK+s1pd1nff2yP+3bqiAaH0="
Sales Associate,Al Boom Marine,"Muscat, Oman",5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/sales-associate-1749117184165,"Customer FocusResponsible for greeting and meeting all customers promptly and politely as they enter the store.Provide customer satisfaction by delivering exceptional customer service.Guide customers throughout the store or to specific areas the customer requestsDevelop a clear understanding of all departments, products, make, and features and after sales serviceEffectively deal with customer queries and complaints.Follow procedures for dealing with specific customer orders.Ensure confidentiality with respect to Al Boom Marine retail/store sales.Store Merchandise/MerchandisingMaintain a detailed knowledge of the merchandise/products stocked in the storeEnsure promotions and fast selling lines are featured in the store.Provide information about customers (likes, dislikes and opinions to the line manager.Ensure effective stock replenishment to the store and continuous stock availability, ongoing recovery & maintenance in the store.Shop Keeping and Store StandardsMaximize and contribute to sales within the store through exceptional customer service and retail experienceEnsure all stock is laid out and displayed according to standard layout norm ( product placement, folded arranged in order from smallest to largest, hanged items must be steamed, brand wise, size wise.Ensure all product are price tagged, $ price is covered and bar-coded before displayed.Ensure correct ratio of stock on shelves and assist in accurate stock counts as per store requirements.Ensure all stock administration (stock counts, STS, dispatch and delivers) are recorded on the system in timeEnsure awareness and vigilance at all times of security in the store without any negligence.Job Type: Full-timeExperience:Retail Sales: 2 years (Preferred)Language:Arabic (Preferred)Job Id: OU+CZzunUIpCGkMxasHXrVLNPDpQj+aqApgEyB5Kau7MrPDnrGNaUtXBhso02i13q6NLYz9MHbE81UbMo+gtwtR0auVvMCUeYicufJgxW+7ZoTWnsA=="
Sales Assistant | Nike | Omani Nationals,GMG,"Muscat, Oman",5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/sales-assistant-nike-omani-nationals-013422,"GMG is a global well-being company retailing, distributing and manufacturing a portfolio of leading international and home-grown brands across sport, food and health sectors. Its vision is to inspire people to win in ways that make the world better. Today, GMG’s investments span across four key verticals: GMG Sports, GMG Food, GMG Health, and GMG Consumer Goods. Under the ownership and management of the Baker family, it has become a leading global company, affiliated with the world’s most successful and respected brands in the well-being sector. Working across the Middle East, North Africa, and Asia, GMG has introduced more than 120 brands into its markets.About the RoleSales Assistant at GMG will be responsible for products and services to customers with the aim of maximizing sales opportunities and providing exceptional service.Core Responsibilities:Describes product features and benefits; demonstrates the use and handling of the productEducates clients on brands quality standards and specificationsAdvises customers on product ranges best suited to their needs; Answers customers’ queries to help them make a decision on the purchaseProvides information to customers on warranties, features, specifications, maintenance and care of products.Ensures customers’ needs are met, complaints are resolved (or escalated) and customer service provided is of exceptional standardMaintains awareness of new product launches, promotional events and salesAchieves sales targets by using sales techniques, up-selling and cross sellingEnsures promotions and pricing are accurate and in line with company standards and policiesComputes sale prices and discounts as applicable; Maintains sales recordsReceives and processes cash, changes and credit payments and generates invoices and receiptsOperates as a cashier and be consistently accurate in money handling (in case applicable)Follows the store’s after sales processes and ensures full adherence to repair/return policies and proceduresAdheres to loss prevention, inventory controls and standard operating procedures of the companyProvides assistance in store merchandising in product placement and arrangementEnsures the highest standards of housekeeping standards and grooming etiquettes are maintained in store at all timesSelf-Management:Defines performance goals at the start of the year in discussion with the reporting manager and ensures that the goals are achieved during the course of the yearTakes ownership of his/her own learning agenda by identifying development needs in consultation with the manager and agreeing on the individual development plan which goes beyond just training and developmentKeeps abreast of professional developments, new techniques and current issues through continued education and professional growthJob Id: 3kiiz5hN7WY+J9VY4Ol8LqISg7ncZHHccqqmcGK7Gl2R2zLBr6MqziSbhPbWgMxOMe9AMyVnxLTqKGbF4xftTC0dVSo58PahYzYHNOpipsqaJhmDCnylCUjv+TPg7KAJPxmRdJc="
Sales Assistant | Nike | Oman,GMG,"Muscat, Oman",5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/sales-assistant-nike-oman-694402,"GMG is a global well-being company retailing, distributing and manufacturing a portfolio of leading international and home-grown brands across sport, food and health sectors. Its vision is to inspire people to win in ways that make the world better. Today, GMG’s investments span across four key verticals: GMG Sports, GMG Food, GMG Health, and GMG Consumer Goods. Under the ownership and management of the Baker family, it has become a leading global company, affiliated with the world’s most successful and respected brands in the well-being sector. Working across the Middle East, North Africa, and Asia, GMG has introduced more than 120 brands into its markets.About The RoleSales Assistant at GMG will be responsible for products and services to customers with the aim of maximizing sales opportunities and providing exceptional service.Core Responsibilities:Describes product features and benefits; demonstrates the use and handling of the productEducates clients on brands quality standards and specificationsAdvises customers on product ranges best suited to their needs; Answers customers’ queries to help them make a decision on the purchaseProvides information to customers on warranties, features, specifications, maintenance and care of products.Ensures customers’ needs are met, complaints are resolved (or escalated) and customer service provided is of exceptional standardMaintains awareness of new product launches, promotional events and salesAchieves sales targets by using sales techniques, up-selling and cross sellingEnsures promotions and pricing are accurate and in line with company standards and policiesComputes sale prices and discounts as applicable; Maintains sales recordsReceives and processes cash, changes and credit payments and generates invoices and receiptsOperates as a cashier and be consistently accurate in money handling (in case applicable)Follows the store’s after sales processes and ensures full adherence to repair/return policies and proceduresAdheres to loss prevention, inventory controls and standard operating procedures of the companyProvides assistance in store merchandising in product placement and arrangementEnsures the highest standards of housekeeping standards and grooming etiquettes are maintained in store at all timesSelf-Management:Defines performance goals at the start of the year in discussion with the reporting manager and ensures that the goals are achieved during the course of the yearTakes ownership of his/her own learning agenda by identifying development needs in consultation with the manager and agreeing on the individual development plan which goes beyond just training and developmentKeeps abreast of professional developments, new techniques and current issues through continued education and professional growthJob Id: zoZkxo5v6j6QrgoGgVrlYj0KbqG6ntGREcIbscuJkpNgEeZ5gLt9RxY8i+PrlR44ejtJeVug/ctc+jdltIxf3/86qN2Do/tk9h8caoSjGV2zv+xx2/SNQqwi"
Sales Account Manager,Dubizzle,"Muscat, Oman",5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/sales-account-manager-1746189940052,"Dubizzle Grouphas the unique distinction of being an iconic, homegrown brand with a strong presence across the Middle East and Pakistan. Connecting millions of users across the region, we are committed to delivering the best online search experience. Dubizzle Group is the largest classifieds player in emerging markets which operates leading brands in the Greater MENA, South Asia & Southeast Asia Regions.As part ofDubizzle Group, Dubizzle Oman is alongside some of the strongest classified brands in the market. With a collective strength of 10 brands, we have more than 200 million monthly users that trust in our dedication to providing them with the best platform for their needs.Dubizzle Oman, an integral part of theDubizzle Group, is now looking to hire an experiencedSales Account Manager. As the Sales Account Manager, you will play a pivotal role in managing client relationships, identifying new business opportunities, and driving revenue growth. Your strong communication skills and strategic mindset will help expand our client base, ensure customer satisfaction, and contribute to the overall success of the business.In this role, you will:Build a solid sales pipeline to 100 %+ target achievementEnsure that at least 95% of due payments are collected on timeMeet new clients to increase the active client poolMeet active clients to maintain listings health, relationship health, and lead healthUnderstand the product in full detail through cross-departmental communicationEnsure all calls, meetings, and follow-ups are added in CRM for reporting purposesEnsure retention of active clients by tracking utilisation and account healthTake ownership of the sales environment, ensuring proper reporting and communication between internal teams and clientsEnsure compliance with all relevant sales regulations and company policiesManage client relationships, providing consistent support and ensuring customer satisfaction;Challenge current sales processes and identify opportunities to streamline operations and improve efficiencyRecommend and support the implementation of sales systems and technologies to improve sales operationsRecommend strategies to manage and control sales processes and client records effectivelyMonitor and manage client accounts, ensuring timely payments and resolving any outstanding issuesProvide guidance and advice to executives, managers, and team members on sales-related mattersLeverage technology to improve sales performance and increase operational efficiencyRequirementsQualificationsBachelor's degree in Business Administration, Sales, Marketing, or a related field;Additional certifications in sales management or related areas are a plusExperienceMinimum of 5 years of experience in sales or account management, preferably in a similar industry;Proven experience in managing key client accounts and meeting sales targetsKnowledgeStrong understanding of sales strategies and customer relationship management (CRM) tools;Experience in managing sales processes, from lead generation to closing;Knowledge of market trends, competitive analysis, and business developmentSkillsAdvanced MS Excel skills for reporting and tracking sales performance;Ability to build and maintain relationships with clients and key stakeholders;Strong organisational and negotiation skills;Excellent written and verbal communication skills;Ability to work under pressure and meet deadlines;Proven ability to develop and implement successful sales strategiesTraitsDemonstrable ability to work to tight deadlines on critical projects;A high attention to detail;Proactive and result-driven;A strong desire to exceed expectationsBenefitsA fast-paced, high-performing culture.Opportunity to expand the brand in OmanMultinational experience and opportunity to work closely with our other brandsRewards & Recognitions.Learning & Development opportunities.Competitive salary.Structured commission.Iqama (Omani Residence ID)Visa processing and renewals.Health insurance.#dubizzleOmanJob Id: q74km4s4wZI9OXV7ENRRy/eHsfrq1A+ULcg4o1HnlWU7p29p7J2tPQO8XzU/G80tpYvAuiqV/UsAP8o6QYIXGm/4uA=="
Sales Account Manager,NCR Atleos,"Muscat, Oman",5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/sales-account-manager-1749718969161,"About NCR AtleosNCR Atleos, headquartered in Atlanta, is a leader in expanding financial access. Our dedicated 20,000 employees optimize the branch, improve operational efficiency and maximize self-service availability for financial institutions and retailers across the globe.TheAccount Managerrole will lead strategic key accounts within Oman’s Banking Sector, driving profitable growth and expanding NCR Atleos’ market presence. In addition to managing key strategic accounts, this role will drive strategies to penetrate other sectors such as retail, hospitality, government, and oil & gas in Oman. This role is pivotal in shaping and executing sales strategies, fostering key C-level relationships, and delivering innovative solutions that align with our Software and Services portfolio.Key ResponsibilitiesStrategic Leadership: Execute country-specific strategies to achieve revenue and profitability targets.Client Engagement: Build and maintain strong relationships with banks, financial institutions, payment service providers, and other non-banking sector clients.Cross-functional Collaboration: Work closely with Professional Services, Field Services, Finance, Logistics, and regional sales teams to ensure seamless execution of strategy.Market Expansion: Identify and capitalize on new business opportunities, especially in Software and Services.Innovation & Value Creation: Drive customer-centric innovation and deliver tailored solutions that enhance customer value and satisfaction.Qualifications & ExperienceBachelor’s degree in Engineering, Business, or Information Technology.Minimum 7 years of enterprise sales experience in FinTech or Payments.Proven track record in managing complex sales cycles and delivering sustainable growth.Deep understanding of Oman’s financial ecosystem, regulatory landscape, and payment trends.Arabic & English is a mustPreferred SkillsStrong negotiation, presentation, and communication skills.Strategic thinking with a hands-on execution mindset.Ability to thrive in a fast-paced, matrixed environment.Familiarity with digital transformation in banking and financial services.Offers of employment are conditional upon passage of screening criteria applicable to the job.EEO StatementNCR Atleos is an equal-opportunity employer. It is NCR Atleos policy to hire, train, promote, and pay associates based on their job-related qualifications, ability, and performance, without regard to race, color, creed, religion, national origin, citizenship status, sex, sexual orientation, gender identity/expression, pregnancy, marital status, age, mental or physical disability, genetic information, medical condition, military or veteran status, or any other factor protected by law.Statement to Third Party AgenciesTo ALL recruitment agencies: NCR Atleos only accepts resumes from agencies on the NCR Atleos preferred supplier list. Please do not forward resumes to our applicant tracking system, NCR Atleos employees, or any NCR Atleos facility. NCR Atleos is not responsible for any fees or charges associated with unsolicited resumes.Job Id: jYbZs6LCgwN/Cc8rukwG0izZ0ozFVi1GyWaGApj/xuyqFrGqwF0+sGmrSVWoHWfdCbU16sIjrLsh430TcrcQ/nntqQybPxRJ234S/k1Y9kEJ6OjQ89m07wScvOQgXMjIWsNzDNJqJADC8kMen3pWxkuvCYhW+utUVHdEBGlG1HCTeDpDGo0p1zxwbXo="
Sales Account Manager,NCR Atleos,"Muscat, Oman",5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/sales-account-manager-1749718969103,"About NCR AtleosNCR Atleos, headquartered in Atlanta, is a leader in expanding financial access. Our dedicated 20,000 employees optimize the branch, improve operational efficiency and maximize self-service availability for financial institutions and retailers across the globe.The Account Manager role will lead strategic key accounts within Oman’s Banking Sector, driving profitable growth and expanding NCR Atleos’ market presence. In addition to managing key strategic accounts, this role will drive strategies to penetrate other sectors such as retail, hospitality, government, and oil & gas in Oman. This role is pivotal in shaping and executing sales strategies, fostering key C-level relationships, and delivering innovative solutions that align with our Software and Services portfolio.Key ResponsibilitiesStrategic Leadership:Execute country-specific strategies to achieve revenue and profitability targets.Client Engagement:Build and maintain strong relationships with banks, financial institutions, payment service providers, and other non-banking sector clients.Cross-functional Collaboration:Work closely with Professional Services, Field Services, Finance, Logistics, and regional sales teams to ensure seamless execution of strategy.Market Expansion:Identify and capitalize on new business opportunities, especially in Software and Services.Innovation & Value Creation:Drive customer-centric innovation and deliver tailored solutions that enhance customer value and satisfaction.Qualifications & ExperienceBachelor’s degree in Engineering, Business, or Information Technology.Minimum 7 years of enterprise sales experience in FinTech or Payments.Proven track record in managing complex sales cycles and delivering sustainable growth.Deep understanding of Oman’s financial ecosystem, regulatory landscape, and payment trends.Arabic & English is a mustPreferred SkillsStrong negotiation, presentation, and communication skills.Strategic thinking with a hands-on execution mindset.Ability to thrive in a fast-paced, matrixed environment.Familiarity with digital transformation in banking and financial services.#Li-GB2 #Li-HybridOffers of employment are conditional upon passage of screening criteria applicable to the job.EEO StatementNCR Atleos is an equal-opportunity employer. It is NCR Atleos policy to hire, train, promote, and pay associates based on their job-related qualifications, ability, and performance, without regard to race, color, creed, religion, national origin, citizenship status, sex, sexual orientation, gender identity/expression, pregnancy, marital status, age, mental or physical disability, genetic information, medical condition, military or veteran status, or any other factor protected by law.Statement to Third Party AgenciesTo ALL recruitment agencies: NCR Atleos only accepts resumes from agencies on the NCR Atleos preferred supplier list. Please do not forward resumes to our applicant tracking system, NCR Atleos employees, or any NCR Atleos facility. NCR Atleos is not responsible for any fees or charges associated with unsolicited resumes.Job Id: UJvKcWwCBm+RYYsugsh+VkQZ6PKk+1vY+BkBwS4YQLgIvEqiPSLcWeRSzOHkkaQpCzJO3M/aymZAYLaQ5qsr8cpAd/oh9eum1n7KNplp3Oe/ZsqdnIHyBV4CAl69VjSbonZPpCFFjRUA7aGNU+7FuKwyzJI1DSRWx0QLuTlTrMZtaQ=="
Sales & Rental Agent,National International Federation LLC,"Muscat, Oman",5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/sales-rental-agent-1749718941180,"Job Title:Sales and Rental Agent – Car Rental (Minimum 5 Years’ Experience)Job Summary:We are seeking a highly motivated and experiencedSales and Rental Agentto join our dynamic team. The ideal candidate will have at least5 years of proven experiencein the car rental industry, with strong skills in customer service, sales, and fleet management. You will be responsible for handling rental transactions, driving sales growth, managing customer relationships, and ensuring a smooth rental experience from start to finish.Key Responsibilities:Greet customers, assess their needs, and recommend suitable vehicle options.Handle the full rental process: reservations, contracts, vehicle delivery, and return.Actively promote upsells such as insurance packages, GPS, or premium vehicles.Manage the fleet inventory, ensuring vehicles are clean, well-maintained, and available.Maintain accurate records of rental agreements and customer information.Build long-term relationships with clients to generate repeat business.Resolve customer complaints and issues professionally and promptly.Collaborate with other departments (e.g., maintenance, accounts) to ensure smooth operations.Achieve monthly sales targets and KPIs.Qualifications & Skills:Minimum5 years of experiencein car rental sales and operations.Strong knowledge of rental processes, vehicle types, and insurance options.Proven sales track record and customer service excellence.Excellent communication, negotiation, and interpersonal skills.Valid driver’s license and clean driving record.Ability to multitask and work under pressure.Preferred:Bilingual/multilingual abilities–English and Arabic are a must.Job Types: Full-time, Permanent, New gradJob Id: 94gQTtP/IaPtKYGnAsM5ZHkmq78hPho5N0mM530gPq+yNvUj8Jhyw+DtWNo/u3ghB4b2HrHxnReEQMhe+G/Y/qMQlIRtrachfL5STGobzkQTaM4O0i/eRg=="
